subject_id,object_id,subject_id_prefix,object_id_prefix,subject_name,object_name,predicate,Primary_Knowledge_Source,Knowledge_Source,publications,subject_category,object_category
114483834,Q9UG63,NCBIGene,UNIPROT,ABCF2-H2BK1,ABCF2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
55324,Q9NUQ8,NCBIGene,UNIPROT,ABCF3,ABCF3_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
9619,P45844,NCBIGene,UNIPROT,ABCG1,ABCG1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
9429,Q9UNQ0,NCBIGene,UNIPROT,ABCG2,ABCG2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
64137,Q9H172,NCBIGene,UNIPROT,ABCG4,ABCG4_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
64240,Q9H222,NCBIGene,UNIPROT,ABCG5,ABCG5_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
64241,Q9H221,NCBIGene,UNIPROT,ABCG8,ABCG8_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
26090,Q8N2K0,NCBIGene,UNIPROT,ABHD12,ABD12_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
339,P41238,NCBIGene,UNIPROT,APOBEC1,ABEC1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
10930,Q9Y235,NCBIGene,UNIPROT,APOBEC2,ABEC2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
403314,Q8WW27,NCBIGene,UNIPROT,APOBEC4,ABEC4_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
116236,Q6UXT9,NCBIGene,UNIPROT,ABHD15,ABH15_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
84696,Q96SE0,NCBIGene,UNIPROT,ABHD1,ABHD1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
11057,P08910,NCBIGene,UNIPROT,ABHD2,ABHD2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
171586,Q8WU67,NCBIGene,UNIPROT,ABHD3,ABHD3_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
63874,Q8TB40,NCBIGene,UNIPROT,ABHD4,ABHD4_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
51099,Q8WTS1,NCBIGene,UNIPROT,ABHD5,ABHD5_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
57406,Q9BV23,NCBIGene,UNIPROT,ABHD6,ABHD6_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
79575,Q96I13,NCBIGene,UNIPROT,ABHD8,ABHD8_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
55347,Q9NUJ1,NCBIGene,UNIPROT,ABHD10,ABHDA_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
83451,Q8NFV4,NCBIGene,UNIPROT,ABHD11,ABHDB_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
